condition,recipe,accuracy,ci_low,ci_high
No instruction,"m=3, k=5, R=10",0.9625,0.930379746835443,0.9888268156424581
No instruction,"m=4, k=4, R=12",0.85,0.7922012551207183,0.9019642122583299
No instruction,"m=5, k=3, R=10",0.55625,0.47681242695753795,0.6311489943029881
No instruction,"m=5, k=4, R=12",0.34375,0.27271288837744534,0.41619701348747584
No instruction,"m=5, k=5, R=16",0.10625,0.06097560975609756,0.15789473684210525
Think about X,"m=3, k=5, R=10",0.9572916666666667,0.9262829044661343,0.9838107217729859
Think about X,"m=4, k=4, R=12",0.8427083333333333,0.7900412037761435,0.8888080431177446
Think about X,"m=5, k=3, R=10",0.558125,0.4904698412698412,0.6289500443557329
Think about X,"m=5, k=4, R=12",0.383125,0.3158816595072335,0.451428585850428
Think about X,"m=5, k=5, R=16",0.13291666666666666,0.09474350649350649,0.1746660958904109
Think intensely,"m=3, k=5, R=10",0.9625,0.9294836956521739,0.9882370141038872
Think intensely,"m=4, k=4, R=12",0.83125,0.7696969696969697,0.8870056497175142
Think intensely,"m=5, k=3, R=10",0.575,0.5,0.6503162030422724
Think intensely,"m=5, k=4, R=12",0.38125,0.30538436114783424,0.4604456860043879
Think intensely,"m=5, k=5, R=16",0.10625,0.06059693318729464,0.15823556653288048
