run,recipe,gap_dprime,gap_ci_low,gap_ci_high,baseline_accuracy,accuracy_ci_low,accuracy_ci_high
final v3.1,"m=3, k=5, R=10",0.2927220704336478,0.11768319164965585,0.49297438131794935,0.9625,0.930379746835443,0.9888268156424581
final v3.1,"m=4, k=4, R=12",0.2421263072470843,0.10685749065895984,0.37363994655737315,0.85,0.7922012551207183,0.9019642122583299
final v3.1,"m=5, k=3, R=10",0.13735640099475332,0.05565717093366138,0.22923479035375344,0.55625,0.47681242695753795,0.6311489943029881
final v3.1,"m=5, k=4, R=12",0.1587776356534,0.05624508028882615,0.27645212815523273,0.34375,0.27271288837744534,0.41619701348747584
final v3.1,"m=5, k=5, R=16",0.12271306883253902,-0.029108437894444252,0.29339291779716226,0.10625,0.06097560975609756,0.15789473684210525
earlier v3,"m=3, k=5, R=10",0.28786259034330286,0.08428001017183966,0.596489437047845,0.9375,0.8767123287671232,0.9866666666666667
earlier v3,"m=4, k=4, R=12",0.24761304713015092,0.05997573877125599,0.557885521547648,0.9125,0.8437236657303371,0.9687620192307692
earlier v3,"m=5, k=3, R=10",0.2555689974045346,0.02641839721430083,0.5141968986617647,0.5375,0.426632183908046,0.6486824324324323
earlier v3,"m=5, k=4, R=12",0.19741792843817,0.05294011104265975,0.4980674413026485,0.375,0.2714075630252101,0.4838709677419355
earlier v3,"m=5, k=5, R=16",0.19534116751882502,0.010127023433727534,0.5853414756678728,0.0625,0.012987012987012988,0.12048192771084337
