run,recipe,failure_rate,failure_ci_low,failure_ci_high,gap_dprime,gap_ci_low,gap_ci_high
final v3.1,"m=3, k=5, R=10",0.03749999999999998,0.011173184357541888,0.069620253164557,0.2927220704336478,0.11768319164965585,0.49297438131794935
final v3.1,"m=4, k=4, R=12",0.15000000000000002,0.0980357877416701,0.20779874487928174,0.2421263072470843,0.10685749065895984,0.37363994655737315
final v3.1,"m=5, k=3, R=10",0.44375,0.3688510056970119,0.523187573042462,0.13735640099475332,0.05565717093366138,0.22923479035375344
final v3.1,"m=5, k=4, R=12",0.65625,0.5838029865125242,0.7272871116225547,0.1587776356534,0.05624508028882615,0.27645212815523273
final v3.1,"m=5, k=5, R=16",0.89375,0.8421052631578947,0.9390243902439024,0.12271306883253902,-0.029108437894444252,0.29339291779716226
earlier v3,"m=3, k=5, R=10",0.0625,0.013333333333333308,0.12328767123287676,0.28786259034330286,0.08428001017183966,0.596489437047845
earlier v3,"m=4, k=4, R=12",0.08750000000000002,0.03123798076923079,0.15627633426966292,0.24761304713015092,0.05997573877125599,0.557885521547648
earlier v3,"m=5, k=3, R=10",0.4625,0.3513175675675677,0.573367816091954,0.2555689974045346,0.02641839721430083,0.5141968986617647
earlier v3,"m=5, k=4, R=12",0.625,0.5161290322580645,0.7285924369747899,0.19741792843817,0.05294011104265975,0.4980674413026485
earlier v3,"m=5, k=5, R=16",0.9375,0.8795180722891567,0.987012987012987,0.19534116751882502,0.010127023433727534,0.5853414756678728
