concept,slope,ci_low,ci_high,ci_category
Trains,-0.0940283403228057,-0.13268070149972241,-0.05806142571256554,below zero
Butter,-0.08644159878346375,-0.12214250964979609,-0.0536801991267663,below zero
Thunder,-0.07577950694973853,-0.11729744354381255,-0.03426666878001466,below zero
Camels,-0.07546395282279407,-0.11627143779394528,-0.0374917228094907,below zero
Boots,-0.0667883831789566,-0.10818069376830701,-0.024255405676143912,below zero
Olives,-0.06595888305189017,-0.09838923543853878,-0.03436459039907594,below zero
Bread,-0.06563490121347099,-0.10300988347836168,-0.029280012351479173,below zero
Islands,-0.06302109470382965,-0.10197233907258715,-0.024393066023291398,below zero
Pepper,-0.06052835529958092,-0.10090701475646749,-0.024190235172760564,below zero
Paintings,-0.05779158552722843,-0.09310595559248727,-0.021709593255732705,below zero
Milk,-0.052703780439558576,-0.08903769523374229,-0.019621708651288778,below zero
Vegetables,-0.05024142899644714,-0.08836231607351942,-0.009077309545937235,below zero
Dynasties,-0.04739797575170897,-0.08595241014758237,-0.012438273034203053,below zero
Chocolate,-0.037767327506527365,-0.0776513469111712,0.0005218722075005026,crosses zero
Horses,-0.03324434446450392,-0.07270600454833889,0.003405338168897962,crosses zero
Photographs,-0.030875458397646313,-0.06918738166895053,0.005638035669528947,crosses zero
Lightning,-0.02031823843516735,-0.05505418489733226,0.016655775019151872,crosses zero
Plates,-0.014993100546909355,-0.052544265720327894,0.02187172228101176,crosses zero
Denim,-0.012310595550440229,-0.049601282080630554,0.026317925618043712,crosses zero
Trees,-0.011715157019063518,-0.04764048190470473,0.02274078763933218,crosses zero
Reefs,0.005309013891079291,-0.03164959802312851,0.043942877093761455,crosses zero
Envelopes,0.007310599754925545,-0.02812538082596963,0.043492043054259806,crosses zero
Dams,0.009239106981134703,-0.027209445853515143,0.04647379944309053,crosses zero
Volcanoes,0.024484503027455487,-0.016916702355946,0.06653726245933506,crosses zero
Windows,0.02540967560181819,-0.014395069834170403,0.06685791631365058,crosses zero
Canoes,0.025682581818787957,-0.008549551200877144,0.0617626344872089,crosses zero
Harbors,0.026255913373436055,-0.0038682708534884197,0.05941788638424837,crosses zero
Deserts,0.02694185124828592,-0.004998869879702622,0.0612011571628424,crosses zero
Cameras,0.05339778554196377,0.01765298026894269,0.09353275126428919,above zero
Turbines,0.055385652939456485,0.020703276841375684,0.09407026439466573,above zero
